mala_handoff_version,catalog_key,symbol,direction,strategy_key,strategy_name,strategy_variant,strategy_params_json,bhiksha_capability_status,bhiksha_ready,provider_validation_status,provider_signal_overlap,recommendation_tier,recommendation_tier_reason,recommendation_checks_json,expectancy,management_policy_spec,classified_profile,profile_option_exp_pct,multi_regime_eras,holdout_win_rate,payoff,holdout_trades,exit_trade_count,triage_stage_note
triage-2026-07-10,triage-market_impulse-QQQ__qqq_short,QQQ,short,market_impulse,Market Impulse (Cross & Reclaim),cross_reclaim,"{""entry_buffer_minutes"": 3, ""entry_window_minutes"": 60, ""regime_timeframe"": ""1h"", ""vwma_periods"": ""10,20,40""}",supported,true,provider_pass,0.9522,shadow,shadow: mc_prob 0.83 < 0.95; holdout_trades 53 < 80; exit_trade_count 27 < 40,"{""base_exp_r"": 0.3351, ""exit_trade_count"": 27, ""holdout_trades"": 53, ""mc_prob_positive_exp"": 0.82875, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.3351,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-market_impulse-qqq__qqq_short"", ""symbol"": ""QQQ"", ""direction"": ""short"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 10.48649691843407, ""legacy_policy"": ""ma_crossover_underlying:ema_12_exit>ema_50_exit"", ""legacy_expectancy_pct"": 0.110755, ""margin_pct"": -10.375742, ""rule"": ""profile expectancy ahead of legacy by +10.376 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,10.48649691843407,,0.4717,3.7631258519363477,53,27,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-market_impulse-PDD__pdd_long,PDD,long,market_impulse,Market Impulse (Cross & Reclaim),cross_reclaim,"{""entry_buffer_minutes"": 5, ""entry_window_minutes"": 45, ""regime_timeframe"": ""5m"", ""vwma_periods"": ""5,13,21""}",supported,true,provider_pass,0.9646,shadow,shadow: mc_prob 0.87 < 0.95; holdout_trades 45 < 80; exit_trade_count 27 < 40,"{""base_exp_r"": 0.3867, ""exit_trade_count"": 27, ""holdout_trades"": 45, ""mc_prob_positive_exp"": 0.8725, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.3867,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-market_impulse-pdd__pdd_long"", ""symbol"": ""PDD"", ""direction"": ""long"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 8.89671765744821, ""legacy_policy"": ""time_stop_underlying:1030"", ""legacy_expectancy_pct"": 0.211997, ""margin_pct"": -8.684721, ""rule"": ""profile expectancy ahead of legacy by +8.685 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,8.89671765744821,,0.4889,2.316059064342881,45,27,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-market_impulse-WFC__wfc_long,WFC,long,market_impulse,Market Impulse (Cross & Reclaim),cross_reclaim,"{""entry_buffer_minutes"": 3, ""entry_window_minutes"": 45, ""regime_timeframe"": ""15m"", ""vwma_periods"": ""5,13,21""}",supported,true,provider_pass,0.9788,shadow,shadow: mc_prob 0.78 < 0.95; holdout_trades 45 < 80; exit_trade_count 27 < 40,"{""base_exp_r"": 0.32, ""exit_trade_count"": 27, ""holdout_trades"": 45, ""mc_prob_positive_exp"": 0.77525, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.32,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-market_impulse-wfc__wfc_long"", ""symbol"": ""WFC"", ""direction"": ""long"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 8.637466145858065, ""legacy_policy"": ""ma_crossover_underlying:ema_12_exit>ema_50_exit"", ""legacy_expectancy_pct"": 0.208815, ""margin_pct"": -8.428651, ""rule"": ""profile expectancy ahead of legacy by +8.429 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,8.637466145858065,,0.4667,4.0541572461706625,45,27,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-market_impulse-RBLX__rblx_long,RBLX,long,market_impulse,Market Impulse (Cross & Reclaim),cross_reclaim,"{""entry_buffer_minutes"": 5, ""entry_window_minutes"": 45, ""regime_timeframe"": ""30m"", ""vwma_periods"": ""5,13,21""}",supported,true,provider_pass,0.9787,shadow,shadow: mc_prob 0.77 < 0.95; holdout_trades 34 < 80; exit_trade_count 20 < 40,"{""base_exp_r"": 0.3318, ""exit_trade_count"": 20, ""holdout_trades"": 34, ""mc_prob_positive_exp"": 0.76775, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.3318,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-market_impulse-rblx__rblx_long"", ""symbol"": ""RBLX"", ""direction"": ""long"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 5.004093340724532, ""legacy_policy"": ""fixed_rr_underlying:0.0100x4.00"", ""legacy_expectancy_pct"": 0.834381, ""margin_pct"": -4.169712, ""rule"": ""profile expectancy ahead of legacy by +4.170 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,5.004093340724532,,0.4706,3.133583151900854,34,20,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-market_impulse-XOM__xom_long,XOM,long,market_impulse,Market Impulse (Cross & Reclaim),cross_reclaim,"{""entry_buffer_minutes"": 3, ""entry_window_minutes"": 45, ""regime_timeframe"": ""5m"", ""vwma_periods"": ""5,13,21""}",supported,true,provider_pass,0.9715,shadow,shadow: mc_prob 0.93 < 0.95; holdout_trades 51 < 80; exit_trade_count 27 < 40,"{""base_exp_r"": 0.4494, ""exit_trade_count"": 27, ""holdout_trades"": 51, ""mc_prob_positive_exp"": 0.92725, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.4494,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-market_impulse-xom__xom_long"", ""symbol"": ""XOM"", ""direction"": ""long"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 1.5418337074335797, ""legacy_policy"": ""time_stop_underlying:1300"", ""legacy_expectancy_pct"": 0.099261, ""margin_pct"": -1.442573, ""rule"": ""profile expectancy ahead of legacy by +1.443 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,1.5418337074335797,,0.5098,1.4970452913259638,51,27,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-market_impulse-AXP__axp_long,AXP,long,market_impulse,Market Impulse (Cross & Reclaim),cross_reclaim,"{""entry_buffer_minutes"": 5, ""entry_window_minutes"": 45, ""regime_timeframe"": ""1h"", ""vwma_periods"": ""5,13,21""}",supported,true,provider_pass,0.9713,shadow,shadow: mc_prob 0.90 < 0.95; holdout_trades 35 < 80; exit_trade_count 22 < 40,"{""base_exp_r"": 0.4629, ""exit_trade_count"": 22, ""holdout_trades"": 35, ""mc_prob_positive_exp"": 0.89975, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.4629,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-market_impulse-axp__axp_long"", ""symbol"": ""AXP"", ""direction"": ""long"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 0.3724945033597708, ""legacy_policy"": ""ma_crossover_underlying:ema_12_exit>ema_50_exit"", ""legacy_expectancy_pct"": 0.080189, ""margin_pct"": -0.292306, ""rule"": ""profile expectancy ahead of legacy by +0.292 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,0.3724945033597708,,0.5143,4.24441159612658,35,22,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-opening_drive-SNOW__snow_short,SNOW,short,opening_drive_classifier,Opening Drive Classifier,default,"{""entry_buffer_minutes"": null, ""entry_window_minutes"": null, ""regime_timeframe"": null, ""vwma_periods"": null}",supported,true,provider_pass,0.9999,shadow,shadow: holdout_trades 19 < 80; exit_trade_count 19 < 40,"{""base_exp_r"": 0.9726, ""exit_trade_count"": 19, ""holdout_trades"": 19, ""mc_prob_positive_exp"": 0.99675, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.9726,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-opening_drive-snow__snow_short"", ""symbol"": ""SNOW"", ""direction"": ""short"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 16.31676892352398, ""legacy_policy"": ""time_stop_underlying:1300"", ""legacy_expectancy_pct"": 1.059466, ""margin_pct"": -15.257303, ""rule"": ""profile expectancy ahead of legacy by +15.257 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,16.31676892352398,,0.6842,2.1238942184980667,19,19,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-opening_drive-BAC__bac_short,BAC,short,opening_drive_classifier,Opening Drive Classifier,default,"{""entry_buffer_minutes"": null, ""entry_window_minutes"": null, ""regime_timeframe"": null, ""vwma_periods"": null}",supported,true,provider_pass,0.9994,shadow,shadow: mc_prob 0.74 < 0.95; holdout_trades 23 < 80; exit_trade_count 23 < 40,"{""base_exp_r"": 0.3548, ""exit_trade_count"": 23, ""holdout_trades"": 23, ""mc_prob_positive_exp"": 0.74, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.3548,"{""policy_id"": ""profile__trend_continuation"", ""stop_family"": ""entry_bar_failure"", ""stop_anchor"": ""underlying_entry_bar_failure"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.0, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-opening_drive-bac__bac_short"", ""symbol"": ""BAC"", ""direction"": ""short"", ""classified_profile"": ""TREND_CONTINUATION"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""TREND_CONTINUATION"", ""profile_expectancy_pct"": 8.409780721067438, ""legacy_policy"": ""fixed_rr_underlying:0.0100x3.00"", ""legacy_expectancy_pct"": 0.1127, ""margin_pct"": -8.297081, ""rule"": ""profile expectancy ahead of legacy by +8.297 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.0, ""target_1_quantity"": 0.6, ""initial_stop_pct"": 0.35, ""premium_disaster_stop_pct"": 0.35, ""no_progress_seconds"": 2700, ""max_hold_seconds"": 10800, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",TREND_CONTINUATION,8.409780721067438,,0.4783,1.9935294422022145,23,23,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-elastic_band-SNOW__snow_short,SNOW,short,elastic_band_reversion,Elastic Band Reversion,default,"{""entry_buffer_minutes"": null, ""entry_window_minutes"": null, ""regime_timeframe"": null, ""vwma_periods"": null}",supported,true,provider_pass,0.9848,shadow,shadow: mc_prob 0.86 < 0.95; holdout_trades 25 < 80; exit_trade_count 23 < 40,"{""base_exp_r"": 0.48, ""exit_trade_count"": 23, ""holdout_trades"": 25, ""mc_prob_positive_exp"": 0.8605, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.48,"{""policy_id"": ""profile__exhaustion_reversal"", ""stop_family"": ""reversal_extreme"", ""stop_anchor"": ""underlying_reversal_extreme"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.5, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-elastic_band-snow__snow_short"", ""symbol"": ""SNOW"", ""direction"": ""short"", ""classified_profile"": ""EXHAUSTION_REVERSAL"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""EXHAUSTION_REVERSAL"", ""profile_expectancy_pct"": 17.073211435661108, ""legacy_policy"": ""time_stop_underlying:1555"", ""legacy_expectancy_pct"": 0.485955, ""margin_pct"": -16.587256, ""rule"": ""profile expectancy ahead of legacy by +16.587 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.5, ""target_1_quantity"": 0.5, ""initial_stop_pct"": 0.45, ""premium_disaster_stop_pct"": 0.45, ""no_progress_seconds"": 4500, ""max_hold_seconds"": 14400, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",EXHAUSTION_REVERSAL,17.073211435661108,,0.52,1.1994750826030065,25,23,shadow-ready: all gates passed; operator review before publish
triage-2026-07-10,triage-elastic_band-BA__ba_long,BA,long,elastic_band_reversion,Elastic Band Reversion,default,"{""entry_buffer_minutes"": null, ""entry_window_minutes"": null, ""regime_timeframe"": null, ""vwma_periods"": null}",supported,true,provider_pass,0.9903,shadow,shadow: mc_prob 0.90 < 0.95; holdout_trades 30 < 80; exit_trade_count 23 < 40,"{""base_exp_r"": 0.52, ""exit_trade_count"": 23, ""holdout_trades"": 30, ""mc_prob_positive_exp"": 0.90225, ""min_exit_trades_for_promote"": 40, ""min_holdout_trades_for_promote"": 80, ""min_holdout_trades_for_shadow"": 15, ""min_mc_prob_for_catalog"": 0.7, ""min_mc_prob_for_promote"": 0.95, ""thesis_exit_tested"": true}",0.52,"{""policy_id"": ""profile__exhaustion_reversal"", ""stop_family"": ""reversal_extreme"", ""stop_anchor"": ""underlying_reversal_extreme"", ""exit_family"": ""profile_staged_r"", ""target_model"": ""profile_staged_r"", ""target_r"": 2.5, ""hard_flat_time_et"": ""15:55"", ""option_stop_fallback_pct"": 0.45, ""target_order_mode"": ""virtual_or_broker"", ""source_config_id"": null, ""parameters"": {""catalog_key"": ""tierb-elastic_band-ba__ba_long"", ""symbol"": ""BA"", ""direction"": ""long"", ""classified_profile"": ""EXHAUSTION_REVERSAL"", ""classification_confidence"": ""high"", ""classification_source"": ""explicit_override"", ""selected_exit"": {""chosen"": ""profile"", ""profile_name"": ""EXHAUSTION_REVERSAL"", ""profile_expectancy_pct"": 19.026905850932515, ""legacy_policy"": ""time_stop_underlying:1130"", ""legacy_expectancy_pct"": 0.416117, ""margin_pct"": -18.610789, ""rule"": ""profile expectancy ahead of legacy by +18.611 pct -> operator profile wins outright""}}, ""target_1_r"": 1.0, ""target_2_r"": 2.5, ""target_1_quantity"": 0.5, ""initial_stop_pct"": 0.45, ""premium_disaster_stop_pct"": 0.45, ""no_progress_seconds"": 4500, ""max_hold_seconds"": 14400, ""high_water_giveback_policy"": ""MODERATE"", ""breakeven_after_t1"": true, ""eod_flat"": true}",EXHAUSTION_REVERSAL,19.026905850932515,,0.5333,6.275811242131395,30,23,shadow-ready: all gates passed; operator review before publish
